"","X.x","Date","Species","site","transect","average_value","Week.x","month","year.x","YearMonth.x","YearMonthSite","WeekYearSite.x","cape.x","X.y","YearMonth.y","SiteCode","average_chl","Week.y","cape.y","year.y","WeekYearSite.y"
"451",451,"2024-04-11","Hedophyllum sessile","YB",2,1.71428571428571,15,4,24,"Apr 2024","Apr 2024_YB","15_24_YB","Perpetua",4,"Apr 2024","YB",38.1066666666667,17,"Perpetua",24,"17_24_YB"
"452",451,"2024-04-11","Hedophyllum sessile","YB",2,1.71428571428571,15,4,24,"Apr 2024","Apr 2024_YB","15_24_YB","Perpetua",5,"Apr 2024","YB",38.1066666666667,17,"Perpetua",24,"17_24_YB"
"453",451,"2024-04-11","Hedophyllum sessile","YB",2,1.71428571428571,15,4,24,"Apr 2024","Apr 2024_YB","15_24_YB","Perpetua",6,"Apr 2024","YB",38.1066666666667,17,"Perpetua",24,"17_24_YB"
"454",452,"2024-04-11","Hedophyllum sessile","YB",3,1,15,4,24,"Apr 2024","Apr 2024_YB","15_24_YB","Perpetua",4,"Apr 2024","YB",38.1066666666667,17,"Perpetua",24,"17_24_YB"
"455",452,"2024-04-11","Hedophyllum sessile","YB",3,1,15,4,24,"Apr 2024","Apr 2024_YB","15_24_YB","Perpetua",5,"Apr 2024","YB",38.1066666666667,17,"Perpetua",24,"17_24_YB"
"456",452,"2024-04-11","Hedophyllum sessile","YB",3,1,15,4,24,"Apr 2024","Apr 2024_YB","15_24_YB","Perpetua",6,"Apr 2024","YB",38.1066666666667,17,"Perpetua",24,"17_24_YB"
"457",453,"2024-04-11","Hedophyllum sessile","YB",4,2.8,15,4,24,"Apr 2024","Apr 2024_YB","15_24_YB","Perpetua",4,"Apr 2024","YB",38.1066666666667,17,"Perpetua",24,"17_24_YB"
"458",453,"2024-04-11","Hedophyllum sessile","YB",4,2.8,15,4,24,"Apr 2024","Apr 2024_YB","15_24_YB","Perpetua",5,"Apr 2024","YB",38.1066666666667,17,"Perpetua",24,"17_24_YB"
"459",453,"2024-04-11","Hedophyllum sessile","YB",4,2.8,15,4,24,"Apr 2024","Apr 2024_YB","15_24_YB","Perpetua",6,"Apr 2024","YB",38.1066666666667,17,"Perpetua",24,"17_24_YB"
"460",454,"2024-04-11","Hedophyllum sessile","YB",5,0,15,4,24,"Apr 2024","Apr 2024_YB","15_24_YB","Perpetua",4,"Apr 2024","YB",38.1066666666667,17,"Perpetua",24,"17_24_YB"
"461",454,"2024-04-11","Hedophyllum sessile","YB",5,0,15,4,24,"Apr 2024","Apr 2024_YB","15_24_YB","Perpetua",5,"Apr 2024","YB",38.1066666666667,17,"Perpetua",24,"17_24_YB"
"462",454,"2024-04-11","Hedophyllum sessile","YB",5,0,15,4,24,"Apr 2024","Apr 2024_YB","15_24_YB","Perpetua",6,"Apr 2024","YB",38.1066666666667,17,"Perpetua",24,"17_24_YB"
"463",455,"2024-04-11","Postelsia palmaeformis","YB",1,6.5,15,4,24,"Apr 2024","Apr 2024_YB","15_24_YB","Perpetua",4,"Apr 2024","YB",38.1066666666667,17,"Perpetua",24,"17_24_YB"
"464",455,"2024-04-11","Postelsia palmaeformis","YB",1,6.5,15,4,24,"Apr 2024","Apr 2024_YB","15_24_YB","Perpetua",5,"Apr 2024","YB",38.1066666666667,17,"Perpetua",24,"17_24_YB"
"465",455,"2024-04-11","Postelsia palmaeformis","YB",1,6.5,15,4,24,"Apr 2024","Apr 2024_YB","15_24_YB","Perpetua",6,"Apr 2024","YB",38.1066666666667,17,"Perpetua",24,"17_24_YB"
"466",456,"2024-04-11","Postelsia palmaeformis","YB",2,15,15,4,24,"Apr 2024","Apr 2024_YB","15_24_YB","Perpetua",4,"Apr 2024","YB",38.1066666666667,17,"Perpetua",24,"17_24_YB"
"467",456,"2024-04-11","Postelsia palmaeformis","YB",2,15,15,4,24,"Apr 2024","Apr 2024_YB","15_24_YB","Perpetua",5,"Apr 2024","YB",38.1066666666667,17,"Perpetua",24,"17_24_YB"
"468",456,"2024-04-11","Postelsia palmaeformis","YB",2,15,15,4,24,"Apr 2024","Apr 2024_YB","15_24_YB","Perpetua",6,"Apr 2024","YB",38.1066666666667,17,"Perpetua",24,"17_24_YB"
"469",457,"2024-04-11","Postelsia palmaeformis","YB",3,0,15,4,24,"Apr 2024","Apr 2024_YB","15_24_YB","Perpetua",4,"Apr 2024","YB",38.1066666666667,17,"Perpetua",24,"17_24_YB"
"470",457,"2024-04-11","Postelsia palmaeformis","YB",3,0,15,4,24,"Apr 2024","Apr 2024_YB","15_24_YB","Perpetua",5,"Apr 2024","YB",38.1066666666667,17,"Perpetua",24,"17_24_YB"
