"","X.x","Date","Species","site","transect","average_value","Week.x","month","year.x","YearMonth.x","YearMonthSite.x","WeekYearSite","cape.x","X.y","YearMonth.y","SiteCode","average_chl","Week.y","cape.y","year.y","YearMonthSite.y"
"474",474,"2024-05-23","Egregia menziesii","FC",1,0,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",16,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"475",474,"2024-05-23","Egregia menziesii","FC",1,0,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",17,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"476",474,"2024-05-23","Egregia menziesii","FC",1,0,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",18,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"477",475,"2024-05-23","Egregia menziesii","FC",2,0.2,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",16,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"478",475,"2024-05-23","Egregia menziesii","FC",2,0.2,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",17,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"479",475,"2024-05-23","Egregia menziesii","FC",2,0.2,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",18,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"480",476,"2024-05-23","Egregia menziesii","FC",3,0,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",16,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"481",476,"2024-05-23","Egregia menziesii","FC",3,0,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",17,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"482",476,"2024-05-23","Egregia menziesii","FC",3,0,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",18,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"483",477,"2024-05-23","Egregia menziesii","FC",4,0,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",16,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"484",477,"2024-05-23","Egregia menziesii","FC",4,0,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",17,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"485",477,"2024-05-23","Egregia menziesii","FC",4,0,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",18,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"486",478,"2024-05-23","Postelsia palmaeformis","FC",1,12.25,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",16,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"487",478,"2024-05-23","Postelsia palmaeformis","FC",1,12.25,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",17,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"488",478,"2024-05-23","Postelsia palmaeformis","FC",1,12.25,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",18,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"489",479,"2024-05-23","Postelsia palmaeformis","FC",2,15,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",16,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"490",479,"2024-05-23","Postelsia palmaeformis","FC",2,15,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",17,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
"491",479,"2024-05-23","Postelsia palmaeformis","FC",2,15,21,5,24,"May 2024","May 2024_FC","21_24_FC","Foulweather",18,"May 2024","FC",3.31,21,"Foulweather",24,"May 2024_FC"
